firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Austin,Johnson,DL,94,STARTED,2018,32013030-2d30-3033-3237-36337ce2b9d3,00-0032763,JOH064658,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Derrick,Henry,RB,22,STARTED,2018,32013030-2d30-3033-3237-3634214e1686,00-0032764,HEN602843,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Tajae,Sharpe,WR,19,STARTED,2018,32013030-2d30-3033-3237-3738a2da1512,00-0032778,SHA495155,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
LeShaun,Sims,CB,36,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3237-38332d50b627,00-0032783,SIM767909,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Tyler,Marz,T,69,NOT_ACTIVE,2018,32013030-2d30-3033-3238-36375e35f792,00-0032867,MAR826658,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Kenneth,Durden,DB,20,NOT_ACTIVE,2018,32013030-2d30-3033-3239-3331a7b70785,00-0032931,DUR165340,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Jack,Conklin,T,78,STARTED,2018,32013030-2d30-3033-3330-3537603b81d2,00-0033057,CON183999,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Kevin,Byard,S,31,STARTED,2018,32013030-2d30-3033-3331-33328de5d1d5,00-0033132,BYA251361,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Anthony,Firkser,TE,86,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3334-3535f4be2829,00-0033455,FIR355963,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Corey,Levin,C/G,62,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3337-393313789272,00-0033793,LEV584781,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Jonnu,Smith,TE,81,STARTED,2018,32013030-2d30-3033-3338-3538ed0401c6,00-0033858,SMI443054,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Corey,Davis,WR,84,STARTED,2018,32013030-2d30-3033-3338-3731ec0301e3,00-0033871,DAV247957,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Adoree',Jackson,CB,25,STARTED,2018,32013030-2d30-3033-3338-3738445ca209,00-0033878,JAC014782,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Taywan,Taylor,WR,13,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3339-3131fdbe6402,00-0033911,TAY716250,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Jayon,Brown,LB,55,STARTED,2018,32013030-2d30-3033-3339-35341d14dda8,00-0033954,BRO486545,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Dane,Cruikshank,DB,29,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3433-38397a2b855f,00-0034389,CRU129724,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Cameron,Batson,WR,17,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3436-3532c43ab832,00-0034652,BAT295535,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Matt,Dickerson,DE,92,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3436-3537c1810dda,00-0034657,DIC281705,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Sharif,Finch,OLB,56,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3436-3539388aa98a,00-0034659,FIN170565,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Aaron,Stinnie,G,61,NOT_ACTIVE,2018,32013030-2d30-3033-3436-36381f077d36,00-0034668,STI628067,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Robert,Spillane,LB,42,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3437-3230523a9f56,00-0034720,SPI329627,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Rashaan,Evans,LB,54,STARTED,2018,32013030-2d30-3033-3437-343354482c85,00-0034743,EVA617192,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Harold,Landry,OLB,58,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3438-32386190e655,00-0034828,LAN159704,Tennessee Titans,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Terrell,Suggs,OLB,55,STARTED,2018,32013030-2d30-3032-3231-363176e3f662,00-0022161,SUG467201,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Sam,Koch,P,04,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3434-31371043198a,00-0024417,KOC420430,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Eric,Weddle,S,32,STARTED,2018,32013030-2d30-3032-3534-32342b68d751,00-0025424,WED290361,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Marshal,Yanda,G/T,73,STARTED,2018,32013030-2d30-3032-3534-37331c522193,00-0025473,YAN330781,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Joe,Flacco,QB,05,STARTED,2018,32013030-2d30-3032-3631-3538c6a10853,00-0026158,FLA009602,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Brandon,Carr,CB,24,STARTED,2018,32013030-2d30-3032-3632-3830b7e3f619,00-0026280,CAR347675,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Michael,Crabtree,WR,15,STARTED,2018,32013030-2d30-3032-3639-38361c422e2a,00-0026986,CRA111040,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Anthony,Levine,DB/LB,41,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3735-3339e5bcf197,00-0027539,LEV588156,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Morgan,Cox,LS,46,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3735-3537121340d6,00-0027557,COX524880,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Albert,McClellan,DE,50,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3735-3630a8f5b027,00-0027560,MCC379498,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Jimmy,Smith,DB,22,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3739-3635a9ca9b5f,00-0027965,SMI000006,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Justin,Tucker,K,09,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3935-39371b9a6ac1,00-0029597,TUC224643,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Robert,Griffin,QB,03,NOT_ACTIVE,2018,32013030-2d30-3032-3936-3635a9a33dbc,00-0029665,GRI283140,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Tony,Jefferson,S,23,STARTED,2018,32013030-2d30-3033-3032-393429b454aa,00-0030294,JEF423538,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Brandon,Williams,DT,98,STARTED,2018,32013030-2d30-3033-3035-313110f7ff08,00-0030511,WIL156757,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Willie,Snead,WR,83,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3036-3633c60355af,00-0030663,SNE115447,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
James,Hurst,G/T,74,STARTED,2018,32013030-2d30-3033-3036-3934e006a669,00-0030694,HUR496348,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
John,Brown,WR,13,STARTED,2018,32013030-2d30-3033-3130-35315f0457e5,00-0031051,BRO494712,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Brent,Urban,DE,96,STARTED,2018,32013030-2d30-3033-3131-37374649c6b2,00-0031177,URB226521,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
C.J.,Mosley,ILB,57,STARTED,2018,32013030-2d30-3033-3132-3936f09c64d2,00-0031296,MOS361252,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Maxx,Williams,TE,87,STARTED,2018,32013030-2d30-3033-3135-35387ca5d707,00-0031558,WIL436992,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Hroniss,Grasu,C,61,NOT_ACTIVE,2018,32013030-2d30-3033-3135-3631e0d93a16,00-0031561,GRA533780,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Za'Darius,Smith,OLB,90,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3135-3736b7d600c4,00-0031576,SMI827086,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Javorius,Allen,RB,37,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3135-373735f054df,00-0031577,ALL469092,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Nick,Boyle,TE,86,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3135-393822341006,00-0031598,BOY688993,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Cyrus,Jones,DB,27,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3233-39305aa105d9,00-0032390,JON188523,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Chris,Moore,WR/RS,10,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3233-3938c91156c5,00-0032398,MOO226734,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Alex,Lewis,G/T,72,STARTED,2018,32013030-2d30-3033-3234-3037b0fdf508,00-0032407,LEW035528,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Willie,Henry,DT,69,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3234-303963771787,00-0032409,HEN713344,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Matt,Judon,OLB,99,STARTED,2018,32013030-2d30-3033-3234-3135c1834a16,00-0032415,JUD442977,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Alex,Collins,RB,34,STARTED,2018,32013030-2d30-3033-3234-323612f9dc9b,00-0032426,COL479374,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Patrick,Onwuasor,ILB,48,STARTED,2018,32013030-2d30-3033-3235-37333dfdab0b,00-0032573,ONW652601,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Michael,Pierce,DT,97,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3235-373456789cfa,00-0032574,PIE424893,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Matt,Skura,G/C,68,STARTED,2018,32013030-2d30-3033-3235-3735608c19a1,00-0032575,SKU668077,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Tavon,Young,CB,25,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3237-37304daa495d,00-0032770,TOU297968,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Ronnie,Stanley,T,79,STARTED,2018,32013030-2d30-3033-3239-363589df7d80,00-0032965,STA458230,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Marlon,Humphrey,CB,29,STARTED,2018,32013030-2d30-3033-3332-38316b1d4c34,00-0033281,HUM550259,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Tyus,Bowser,OLB,54,NOT_ACTIVE,2018,32013030-2d30-3033-3332-3833641167e0,00-0033283,BOW770022,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Chuck,Clark,S,36,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3332-39347466c86a,00-0033294,CLA225622,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Patrick,Ricard,FB/DL,42,NOT_ACTIVE,2018,32013030-2d30-3033-3333-37366b4d3595,00-0033376,RIC012529,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Chris,Wormley,DE,93,STARTED,2018,32013030-2d30-3033-3339-313394d071a2,00-0033913,WOR645302,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Tim,Williams,OLB,56,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3339-313595e51c5d,00-0033915,WIL538306,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Gus,Edwards,RB,35,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3431-3834413ea34f,00-0034184,EDW471180,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Anthony,Averett,CB,28,NOT_ACTIVE,2018,32013030-2d30-3033-3432-36354e815b9f,00-0034265,AVE305232,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Kenny,Young,LB,40,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3432-36361198df8f,00-0034266,YOU333177,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Jordan,Lasley,WR/RS,17,NOT_ACTIVE,2018,32013030-2d30-3033-3432-3731532ad0e0,00-0034271,LAS460737,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Bradley,Bozeman,C,77,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3432-3831e9fd6827,00-0034281,BOZ167481,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Zach,Sieler,DT,95,NOT_ACTIVE,2018,32013030-2d30-3033-3432-3835a05a0000,00-0034285,SIE410345,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Orlando,Brown,T,78,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3437-3532c02450ec,00-0034752,BRO570664,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Mark,Andrews,TE,89,STARTED,2018,32013030-2d30-3033-3437-353395a63095,00-0034753,AND701433,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Chris,Board,LB,49,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3437-3837df78c8af,00-0034787,BOA302232,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Lamar,Jackson,QB,08,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3437-39369c80073a,00-0034796,JAC323395,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
Hayden,Hurst,TE,81,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3438-3330ba0600a2,00-0034830,HUR495014,Baltimore Ravens,ravens-at-titans-2018-reg-6,2018-10-14T20:25:00.000Z
