firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Riley,Bullough,LB,49,,2018,32013030-2d30-3033-3334-323465805fda,00-0033424,BUL623556,Tampa Bay Buccaneers,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Bobo,Wilson,WR,85,,2018,32013030-2d30-3033-3334-3334d92e755c,00-0033434,WIL726570,Tampa Bay Buccaneers,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Jeremiah,Ledbetter,DT,78,,2018,32013030-2d30-3033-3335-3832d0a76a58,00-0033582,LED229262,Tampa Bay Buccaneers,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Chris,Godwin,WR,12,STARTED,2018,32013030-2d30-3033-3339-32316fa8157a,00-0033921,GOD549393,Tampa Bay Buccaneers,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
M.J.,Stewart,CB,36,,2018,32013030-2d30-3033-3433-353540b0a299,00-0034355,STE793185,Tampa Bay Buccaneers,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Jordan,Whitehead,S,31,STARTED,2018,32013030-2d30-3033-3433-3734a5d3eaac,00-0034374,WHI622731,Tampa Bay Buccaneers,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Justin,Watson,WR,17,,2018,32013030-2d30-3033-3433-3836b08b0c5f,00-0034386,WAT441238,Tampa Bay Buccaneers,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Donnie,Ernsberger,TE,86,,2018,32013030-2d30-3033-3436-3131c301e9c1,00-0034611,ERN252861,Tampa Bay Buccaneers,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Tanner,Hudson,TE,88,NOT_ACTIVE,2018,32013030-2d30-3033-3436-31332863acc9,00-0034613,HUD753368,Tampa Bay Buccaneers,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Alex,Cappa,OL,65,,2018,32013030-2d30-3033-3436-3738cb8f3f9a,00-0034678,CAP370596,Tampa Bay Buccaneers,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Vita,Vea,DT,50,STARTED,2018,32013030-2d30-3033-3437-373386f2f831,00-0034773,VEA065410,Tampa Bay Buccaneers,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Carlton,Davis,CB,33,STARTED,2018,32013030-2d30-3033-3437-3738ceac0456,00-0034778,DAV220184,Tampa Bay Buccaneers,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Ronald,Jones,RB,27,,2018,32013030-2d30-3033-3438-313686f35185,00-0034816,JON705925,Tampa Bay Buccaneers,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Matt,Bryant,K,03,,2018,32013030-2d30-3032-3035-373844bb2525,00-0020578,BRY500226,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Matt,Schaub,QB,08,,2018,32013030-2d30-3032-3237-3837e8f3d1a2,00-0022787,SCH085186,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Jon,Condo,LS,46,,2018,32013030-2d30-3032-3331-3737d624b23d,00-0023177,CON072674,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Matt,Ryan,QB,02,STARTED,2018,32013030-2d30-3032-3631-34338634c9b6,00-0026143,RYA238179,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Alex,Mack,C,51,STARTED,2018,32013030-2d30-3032-3639-3937429253e1,00-0026997,MAC273212,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Logan,Paulsen,TE,82,STARTED,2018,32013030-2d30-3032-3732-3135e8b24c00,00-0027215,PAU641214,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Ben,Garland,G,63,,2018,32013030-2d30-3032-3732-383239af7874,00-0027282,GAR218169,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Zane,Beadles,T,69,STARTED,2018,32013030-2d30-3032-3736-3538b4744086,00-0027658,BEA117665,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Julio,Jones,WR,11,STARTED,2018,32013030-2d30-3032-3739-3434d4d3846d,00-0027944,JON640315,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Bruce,Carter,LB,55,NOT_ACTIVE,2018,32013030-2d30-3032-3739-37387a0caed5,00-0027978,CAR624497,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Brooks,Reed,DE,50,,2018,32013030-2d30-3032-3739-3830828270d1,00-0027980,REE154467,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Terrell,McClain,DT,99,STARTED,2018,32013030-2d30-3032-3830-30337040cfc8,00-0028003,MCC342970,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Matt,Bosher,P,05,,2018,32013030-2d30-3032-3831-33304fbac780,00-0028130,BOS219856,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Giorgio,Tavecchio,K,04,NOT_ACTIVE,2018,32013030-2d30-3032-3839-303781ed6e39,00-0028907,TAV164481,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Bruce,Irvin,DE,52,,2018,32013030-2d30-3032-3931-3933fbe0b03b,00-0029193,IRV115072,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Justin,Bethel,CB,28,,2018,32013030-2d30-3032-3935-3330cfc50f82,00-0029530,BET201235,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Jack,Crawford,DL,95,,2018,32013030-2d30-3032-3936-32377ccf96c2,00-0029627,CRA660264,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Mohamed,Sanu,WR,12,STARTED,2018,32013030-2d30-3032-3936-3332c617d70d,00-0029632,SAN808447,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Ryan,Schraeder,T,73,STARTED,2018,32013030-2d30-3032-3937-3836fce6aeaa,00-0029786,SCH492299,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Steven,Means,DE,56,,2018,32013030-2d30-3033-3033-3837d54107ee,00-0030387,MEA790667,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Kemal,Ishmael,S,36,,2018,32013030-2d30-3033-3034-323746dcf215,00-0030427,ISH415291,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Robert,Alford,CB,23,STARTED,2018,32013030-2d30-3033-3035-323867243165,00-0030528,ALF657259,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Blidi,Wreh-Wilson,CB,33,NOT_ACTIVE,2018,32013030-2d30-3033-3035-3431fc55618a,00-0030541,WRE233874,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Desmond,Trufant,CB,21,STARTED,2018,32013030-2d30-3033-3035-36324cbce92e,00-0030562,TRU381665,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Jake,Matthews,T,70,STARTED,2018,32013030-2d30-3033-3132-373957a85229,00-0031279,MAT565555,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Jordan,Richards,S,29,STARTED,2018,32013030-2d30-3033-3135-3539dcdf4637,00-0031559,RIC293560,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Jeremy,Langford,RB,43,,2018,32013030-2d30-3033-3135-36399ef585da,00-0031569,LAN550009,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Justin,Hardy,WR,14,,2018,32013030-2d30-3033-3135-37307ad4347b,00-0031570,HAR111877,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Grady,Jarrett,DT,97,STARTED,2018,32013030-2d30-3033-3135-383331fceed0,00-0031583,JAR254349,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Tevin,Coleman,RB,26,STARTED,2018,32013030-2d30-3033-3230-35386984de69,00-0032058,COL359050,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Ty,Sambrailo,T,74,STARTED,2018,32013030-2d30-3033-3231-34371f5c0904,00-0032147,SAM009394,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Vic,Beasley,OLB,44,STARTED,2018,32013030-2d30-3033-3232-3430b2977a30,00-0032240,BEA528276,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Deion,Jones,LB,45,STARTED,2018,32013030-2d30-3033-3233-38383827bbae,00-0032388,JON233279,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Austin,Hooper,TE,81,,2018,32013030-2d30-3033-3233-39328d4eeab0,00-0032392,HOO570770,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
De'Vondre,Campbell,LB,59,STARTED,2018,32013030-2d30-3033-3234-303177be18db,00-0032401,CAM227922,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Wes,Schweitzer,G,71,NOT_ACTIVE,2018,32013030-2d30-3033-3234-3332dbce1fe4,00-0032432,SCH821050,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Justin,Zimmer,DT,92,NOT_ACTIVE,2018,32013030-2d30-3033-3235-3138910040f5,00-0032518,ZIM077099,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Sharrod,Neasman,S,41,,2018,32013030-2d30-3033-3235-393212efe2ff,00-0032592,NEA752713,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Brian,Poole,CB,34,,2018,32013030-2d30-3033-3235-3936a2c461e8,00-0032596,POO231564,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Marvin,Hall,WR,17,,2018,32013030-2d30-3033-3330-3934949866ca,00-0033094,HAL441748,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Ricky,Ortiz,FB,30,STARTED,2018,32013030-2d30-3033-3333-3734e8583001,00-0033374,ORT448270,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Damontae,Kazee,S,27,STARTED,2018,32013030-2d30-3033-3335-3132dc1f4905,00-0033512,KAZ186981,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Takkarist,McKinley,DE,98,STARTED,2018,32013030-2d30-3033-3335-34309ce593b8,00-0033540,MCK405174,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Duke,Riley,LB,42,STARTED,2018,32013030-2d30-3033-3335-34391040c4ac,00-0033549,RIL146648,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Brian,Hill,RB,32,,2018,32013030-2d30-3033-3335-36379c914315,00-0033567,HIL101853,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Eric,Saubert,TE,85,,2018,32013030-2d30-3033-3335-373680f0140e,00-0033576,SAU025752,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Matt,Gono,T,77,,2018,32013030-2d30-3033-3431-3430b98d2450,00-0034140,GON205666,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Isaiah,Oliver,CB,20,,2018,32013030-2d30-3033-3433-35374bbde41e,00-0034357,OLI431868,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Deadrin,Senat,DT,94,,2018,32013030-2d30-3033-3433-36337f14384d,00-0034363,SEN026161,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Russell,Gage,WR,83,,2018,32013030-2d30-3033-3434-31315ee55543,00-0034411,GAG130654,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Foyesade,Oluokun,LB,54,,2018,32013030-2d30-3033-3434-3133aa5cb448,00-0034413,OLU474619,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Ryan,Neal,DB,40,NOT_ACTIVE,2018,32013030-2d30-3033-3435-3237b9a42a29,00-0034527,NEA427290,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
Calvin,Ridley,WR,18,,2018,32013030-2d30-3033-3438-333761eb5105,00-0034837,RID652384,Atlanta Falcons,falcons-at-buccaneers-2018-reg-17,2018-12-30T18:00:00.000Z
